theorem,category,assumption_or_definition,used_in_proof,source_binding,lean_foundation_dependencies,declared_but_proof_unused,deferred_deployment_status,notes
T0,mathematical definitions,"State; WellFormed; GrantWellFormed; BudgetOwnersWellFormed; ReachableFrom",YES,"State.lean; Reachability.lean",NONE,NONE,EXCLUDED,"Definitions are transparent Lean objects."
T0,frozen transition semantics,"Actual TrustedStep cases and their transition-specific Γ/B/lifecycle equations",YES,"Transitions.lean; trustedStep_preserves_wf",NONE,NONE,EXCLUDED,"No transition constructor carries WellFormed as a field."
T0,R0.2c assumptions genuinely used,"Initial state is structurally WellFormed",YES,"h0 : WellFormed s0",NONE,NONE,EXCLUDED,"This is the only non-transition theorem premise used."
T0,theorem-specific premises,"h0 : WellFormed s0; hr : ReachableFrom s0 s",YES,"T0_wellFormed",NONE,NONE,EXCLUDED,"Both premises are consumed by induction."
T0,deferred deployment assumptions,NONE,NO,NONE,NONE,NONE,EXCLUDED,"No dispatcher fidelity, cryptographic, persistence, liveness, or implementation assumptions enter T0."
T9,mathematical definitions,"LifecycleState; LifecycleEdge; LifecycleReach; LifecycleRecord.used",YES,"Base.lean",NONE,"h0 : WellFormed s0",EXCLUDED,"The statement retains h0 but the proof clears it."
T9,frozen transition semantics,"PrepareLifecycle; LifecycleUpdate; CommitStartLifecycle; Reconcile; ExpireReservation; lifecycleSame equations",YES,"Transitions.lean; trustedStep_lifecycle_one; trustedStep_used_one",NONE,"h0 : WellFormed s0",EXCLUDED,"All lifecycle movement is derived from actual transition updates."
T9,R0.2c assumptions genuinely used,"Actual in-epoch run is ReachableFrom over TrustedStep",YES,"hr : ReachableFrom s0 s",NONE,"h0 : WellFormed s0",EXCLUDED,"No extra monotonicity certificate is assumed."
T9,theorem-specific premises,"hr : ReachableFrom s0 s",YES,"T9_lifecycle",NONE,"h0 : WellFormed s0",EXCLUDED,"Only hr is proof-load-bearing."
T9,deferred deployment assumptions,NONE,NO,NONE,NONE,"h0 : WellFormed s0",EXCLUDED,"No timing service, storage durability, dispatcher, or external-effect assumption enters T9."
T1,mathematical definitions,"Constitution; GovernancePolicy; ConstitutionHolds; ReachableFrom",YES,"State.lean; Reachability.lean",NONE,"h0wf : WellFormed s0",EXCLUDED,"ConstitutionHolds is direct application of fixed constitution to current governance."
T1,frozen transition semantics,"Constitution/governance preservation equations; UpdatePolicy constitutionalGuard; E3 excluded from TrustedStep",YES,"Transitions.lean; trustedStep_constitution_one",NONE,"h0wf : WellFormed s0",EXCLUDED,"Positive E2+ uses the same UpdatePolicy constitutional guard."
T1,R0.2c assumptions genuinely used,"Initial governance satisfies initial constitution",YES,"h0 : ConstitutionHolds s0",NONE,"h0wf : WellFormed s0",EXCLUDED,"No additional constitutional assumption is imported."
T1,theorem-specific premises,"h0 : ConstitutionHolds s0; hr : ReachableFrom s0 s",YES,"T1_constitution",NONE,"h0wf : WellFormed s0",EXCLUDED,"The WellFormed statement premise is not used by the proof."
T1,deferred deployment assumptions,NONE,NO,NONE,NONE,"h0wf : WellFormed s0",EXCLUDED,"No policy-distribution, signing, deployment, or operator assumptions enter T1."
